Stock Name,Change,Date,QT,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open
GRAM,-1.20%,31-Dec,4,Services,425.28M,-0.393658098,,0.010522782,0.010522782,0.010522782,,BUY,,D,Grana y Montero S.A.A.,Technical Services,Peru,,2.47,"28,737",Today After Market EPS,4.96%,12.87%,-18.20%,-78.10%,6.4,0.6,,2.63,0.47,,-8.20%,1.3,0.65,,Dec 31/a,14.00%,0.48,6.90%,-2.10%,1.1,-0.90%,-2.90%,5.40%,108.52K,108.66M,0.07%,,,17.30%,-0.22%,172.18M,0.67,-18.48%,16.51%,9.78%,5.11%,-20.58%,-20.58%,2.5,0.26,4.09%,4.95%,-36.67%,35.71%,0.1,0.34,0.00%,62.77,9.01%,-11.84%,11.08%,-1.20%
SAEX,-2.25%,31-Dec,4,Basic Materials,13.04M,0.019039959,,-0.729940067,-0.486484668,-0.019971232,,,,B,"SAExploration Holdings, Inc.",Oil & Gas Equipment & Services,USA,,3.04,"59,388",Today After Market EPS,,,,-17.70%,,0.69,,,0.09,,-17.30%,1.3,6.36,,Dec 31/a,6.00%,5.87,-35.20%,-56.70%,1.3,-56.50%,-527.30%,-62.10%,371.63K,3.10M,11.20%,13.88%,0.00%,38.00%,-0.85%,4.29M,0.93,-11.88%,27.36%,83.13%,-7.60%,62.57%,62.57%,,0.16,11.53%,6.22%,-53.94%,114.08%,0.3,3.27,0.00%,51.86,-7.02%,6.63%,23.77%,-2.25%
BASI,4.24%,1-Jan,1,Services,49.75M,0.098363513,0.002136396,0.034767881,0.018684133,0.061078538,,,,A,"Bioanalytical Systems, Inc.",Research Services,USA,,4.95,"72,571",Tomorrow Before Market EPS,,,-17.50%,-121.90%,,5.05,99.49,,1.32,,3.60%,0.7,1.4,,Jan 02/b,29.80%,1.19,-2.00%,-3.40%,0.6,-3.90%,-12.20%,0.40%,58.42K,7.49M,0.60%,10.30%,10.39%,14.60%,20.64%,10.05M,0.77,147.50%,4.87%,49.55%,7.61%,289.76%,289.76%,,1.24,9.16%,9.71%,-8.84%,292.86%,0.4,0.77,0.41%,60.47,11.94%,67.95%,8.22%,0.81%
CUK,0.23%,1-Jan,1,Services,32.17B,0.195072337,0.000377818,0.046928241,0.041021843,0.047601838,,,,D,Carnival Corporation & Plc,General Entertainment,United Kingdom,10.91,48.16,"197,017",Tomorrow Before Market EPS,13.40%,,26.20%,23.50%,,1.31,27.9,,1.57,0.81,4.10%,0.3,0.42,4.15%,Jan 02/b,49.50%,0.35,16.30%,14.90%,0.2,7.00%,12.50%,9.40%,403.58K,156.58M,0.54%,,,8.60%,0.57%,668.06M,2.09,6.48%,13.10%,18.21%,0.02%,-1.17%,-1.17%,,0.49,1.53%,1.17%,-17.41%,26.37%,0.84,1.08,0.10%,75.86,7.87%,3.75%,12.38%,-0.29%
EARS,-1.23%,1-Jan,1,Healthcare,5.48M,0.177557792,0.015022848,0.004053906,0.004053906,0.003716876,,,,F,Auris Medical Holding Ltd.,Biotechnology,Switzerland,,1.62,"224,828",Tomorrow Before Market EPS,,,34.10%,87.00%,,0.38,0.93,,,,,3.5,0.0,,Jan 02/b,,0.0,,,3.5,-110.70%,-494.50%,,157.60K,2.91M,0.19%,11.82%,0.00%,13.30%,-2.39%,3.38M,0.04,-38.17%,8.72%,-39.78%,10.20%,-82.24%,-82.24%,,1.43,8.78%,13.80%,-85.13%,24.62%,0.14,-0.11,-0.59%,58.78,12.90%,-48.51%,6.54%,-3.57%
KFS,-0.54%,1-Jan,1,Financial,41.24M,0.647773139,0.001193485,0.000185376,0.000185376,0.001436542,,,,C,Kingsway Financial Services Inc.,Property & Casualty Insurance,Canada,,1.86,"39,926",Tomorrow Before Market EPS,10.00%,,16.20%,,,1.9,1.75,,0.96,,3.90%,,11.33,,Jan 02/b,,11.33,-34.30%,-40.20%,,-3.60%,-55.70%,-7.60%,31.66K,15.07M,0.05%,6.00%,1.53%,38.90%,-0.03%,22.17M,0.25,-24.08%,-13.08%,-15.84%,3.33%,-35.19%,-3.07%,,1.26,6.21%,5.41%,-42.14%,14.11%,0.11,-0.31,-2.13%,46.56,1.17%,-23.74%,-9.31%,1.09%
NEOG,-1.59%,1-Jan,1,Healthcare,3.44B,0.132239714,0.0062241430000000006,0.001564121,0.031077095,0.019618172,4-Sell ,HOLD,,D,Neogen Corporation,Diagnostic Substances,USA,57.5,65.26,"179,914",Tomorrow Before Market EPS,12.00%,10.31%,15.20%,-5.20%,48.81,5.17,11.83,65.85,8.28,4.79,10.90%,11.7,0.0,,Jan 02/b,46.50%,0.0,16.50%,14.30%,9.5,8.70%,9.50%,8.80%,172.21K,51.82M,5.38%,0.20%,-84.70%,96.20%,2.86%,52.77M,16.2,8.33%,-1.97%,1.01%,-0.78%,14.49%,14.49%,2.8,1.04,2.79%,2.51%,-18.25%,28.97%,1.94,1.38,-0.39%,41.95,-3.10%,1.29%,-1.40%,0.99%
PKE,0.43%,1-Jan,1,Technology,333.86M,0.193262173,,-0.300942096,-0.118833831,-0.045545089,,,,C,Park Aerospace Corp.,Semiconductor Equipment & Materials,USA,39.59,16.27,"99,737",Tomorrow Before Market EPS,15.00%,,16.60%,,,2.08,2.3,,5.74,2.64,-21.00%,30.0,0.0,2.46%,Jan 02/b,32.30%,0.0,17.80%,,29.1,60.80%,72.50%,3.40%,93.97K,18.41M,3.99%,0.10%,-51.74%,84.50%,-1.15%,20.52M,7.81,-3.67%,-0.25%,-6.44%,0.43%,10.50%,10.50%,,1.06,1.57%,1.36%,-15.66%,12.43%,0.26,1.04,-0.62%,46.77,-0.19%,-2.34%,-1.73%,0.74%
VLGEA,0.17%,1-Jan,1,Services,234.55M,0.025352214,0.00069369,0.006460204000000001,0.012380483,0.012380483,,,,D,"Village Super Market, Inc.",Grocery Stores,USA,19.45,23.2,"88,062",Tomorrow Before Market EPS,,,32.30%,4.50%,,1.01,3.01,,0.14,,1.60%,1.3,0.1,4.31%,Jan 02/b,27.80%,0.09,,,0.9,,,6.70%,29.30K,8.77M,7.55%,1.10%,-39.39%,66.80%,-0.27%,10.11M,22.59,-12.02%,-17.96%,-11.99%,-1.57%,-13.24%,-13.24%,,3.01,2.20%,1.24%,-27.95%,-1.28%,0.49,0.38,-1.06%,21.08,-5.76%,-11.56%,-10.75%,-1.02%
BDL,0.00%,2-Jan,1,Services,41.18M,0.377115446,0.013211198,0.000633227,0.001440029,0.001440029,,,,C,"Flanigan's Enterprises, Inc.",Specialty Eateries,USA,12.05,22.8,1,Today After Market EPS,,,4.71%,,,1.07,3.01,4.84,0.36,,5.30%,1.5,0.34,1.26%,Jan 02/a,59.50%,0.29,5.50%,,1.2,,,10.60%,1.61K,0.37M,0.22%,79.91%,0.00%,17.00%,-0.32%,1.86M,0.51,-11.44%,-3.74%,3.46%,0.64%,-14.42%,-22.18%,,0.0,1.24%,2.18%,-13.96%,11.70%,0.66,0.1,2.98%,51.7,1.07%,-5.03%,1.31%,0.00%
CALM,0.13%,2-Jan,1,Consumer Goods,2.08B,0.377115446,0.013211198,0.000633227,0.001440029,0.001440029,3-Hold ,HOLD,,D,"Cal-Maine Foods, Inc.",Food - Major Diversified,USA,,41.99,"56,613",Tomorrow Before Market EPS,-10.00%,1987.50%,-13.20%,-34.80%,28.31,2.2,8.8,,1.65,,-1.10%,6.7,0.0,2.01%,Jan 03/b,11.70%,0.0,-2.40%,-0.30%,4.2,-0.30%,-0.40%,3.00%,322.44K,30.25M,15.51%,31.09%,0.00%,76.90%,-0.71%,48.59M,14.55,1.33%,-1.79%,9.31%,-0.30%,1.06%,1.06%,3.4,0.48,1.77%,1.49%,-10.60%,14.65%,0.77,0.41,0.07%,42.33,-2.67%,1.06%,-0.93%,-1.78%
DTEA,-0.35%,2-Jan,1,Consumer Goods,37.84M,0.194518082,0.003044732,0.009440689,0.00623063,0.01596707,,,,C,DAVIDsTEA Inc.,Food - Major Diversified,Canada,,1.46,"11,620",Today After Market EPS,,,-37.10%,-25.80%,,0.86,1.67,7.42,0.24,,14.50%,2.1,1.64,,Jan 02/a,50.50%,1.35,-9.40%,-15.90%,1.3,-21.90%,-49.40%,-48.40%,94.79K,14.03M,3.07%,46.16%,0.00%,3.30%,8.09%,25.92M,4.54,13.18%,-8.75%,-29.13%,-2.67%,23.73%,23.73%,,0.33,6.37%,5.44%,-36.52%,30.36%,0.1,1.95,-0.68%,37.31,-10.32%,-3.10%,-10.35%,0.69%
EMD,2.01%,2-Jan,1,Financial,866.85M,-0.138773939,,0.021594089,0.011027307,0.009222122,,,,,Western Asset Emerging Markets Debt Fund Inc.,Closed-End Fund - Debt,USA,7.39,14.35,"83,485",Today After Market EPS,,,,,,0.88,,,9.57,,,,,8.41%,Jan 02/a,,,,,,,,,145.50K,,,,,38.67%,,60.75M,0.2,-0.63%,1.42%,3.26%,1.49%,16.11%,16.11%,,1.6,0.92%,0.96%,-1.44%,17.27%,0.13,,0.28%,69.35,1.86%,2.60%,2.41%,0.14%
FORD,0.50%,2-Jan,1,Consumer Goods,9.13M,0.185548263,0.000115134,0.000198011,0.000198011,0.000236466,,,,D,"Forward Industries, Inc.",Textile - Apparel Footwear & Accessories,USA,,1.02,"1,793",Today After Market EPS,,,33.30%,124.60%,,0.99,3.38,,0.24,,2.20%,1.7,0.29,,Jan 02/a,16.90%,0.0,-3.70%,-4.30%,1.6,-8.90%,-15.90%,7.50%,22.37K,6.13M,5.05%,35.72%,0.00%,14.30%,3.53%,9.22M,13.84,-13.91%,-2.94%,0.03%,-1.98%,-23.85%,-23.85%,,0.23,4.95%,4.56%,-39.41%,31.71%,0.05,0.38,1.01%,53.19,2.39%,-13.00%,1.12%,3.00%
GEMP,0.00%,2-Jan,1,Healthcare,4.30M,0.019522575,0.197809993,-0.115911235,-0.115911235,-0.115911235,,BUY,,F,Gemphire Therapeutics Inc.,Biotechnology,USA,,0.3,0,Today After Market EPS,,-285.50%,,47.00%,,,2.26,,,,,0.7,,,Jan 02/a,,,,,0.7,-173.10%,-419.70%,,113.07K,6.56M,0.95%,13.60%,0.00%,18.00%,-16.88%,14.33M,0.55,-62.80%,-13.94%,-21.42%,0.00%,-62.96%,-60.97%,2.0,1.71,15.43%,13.81%,-79.80%,26.05%,0.04,2.84,0.00%,44.99,-2.17%,-57.73%,-11.53%,0.00%
GSH,-0.84%,2-Jan,1,Services,2.95B,0.306303073,0.002038868,0.02007724,0.022725178,0.022725178,,,,D,Guangshen Railway Company Limited,Railroads,China,18.49,16.61,"1,887",Today After Market EPS,8.00%,-12.90%,-9.20%,-22.80%,614.81,0.56,10.7,,1.01,2.31,4.60%,1.1,0.04,2.65%,Jan 02/a,6.50%,0.04,6.10%,4.40%,1.1,2.50%,3.10%,2.70%,18.90K,33.64M,0.09%,42.60%,0.00%,5.30%,3.51%,177.48M,1.59,-4.76%,4.47%,4.47%,-1.78%,-11.14%,-11.14%,,0.27,2.60%,2.36%,-26.76%,10.66%,0.44,0.98,0.00%,52.92,0.80%,-2.49%,2.36%,0.06%
HURC,-6.88%,2-Jan,1,Technology,258.16M,0.194518082,0.003044732,0.009440689,0.00623063,0.01596707,,,,D,"Hurco Companies, Inc.",Scientific & Technical Instruments,USA,11.13,37.76,"3,073",Tomorrow Before Market EPS,,,23.40%,58.70%,,1.1,3.91,,0.9,,9.30%,4.2,0.0,1.25%,Jan 03/b,31.00%,0.0,11.10%,8.20%,1.8,7.50%,10.20%,11.40%,17.22K,6.33M,0.56%,6.48%,0.00%,80.20%,-2.42%,6.73M,2.07,6.29%,7.21%,20.36%,1.51%,7.45%,7.45%,,0.48,2.03%,1.26%,-14.29%,21.54%,0.71,0.86,0.63%,52.56,-0.18%,5.94%,4.70%,-2.18%
JEF,-1.40%,2-Jan,1,Financial,6.39B,0.204970782,7.96e-05,0.000423272,0.000423272,0.000312963,3-Hold ,BUY,,D,Jefferies Financial Group Inc.,Investment Brokerage - Regional,USA,5.68,21.52,"271,685",Today After Market EPS,18.00%,-47.61%,11.10%,123.90%,15.13,0.66,0.35,,1.39,0.32,-14.90%,0.9,1.93,2.34%,Jan 02/a,57.10%,1.06,-12.30%,17.40%,0.9,1.70%,8.10%,2.40%,1.55M,249.69M,2.30%,9.70%,-2.62%,75.20%,1.92%,299.03M,3.72,17.25%,2.25%,17.68%,1.23%,31.51%,31.51%,2.0,0.51,1.24%,0.93%,-1.33%,35.03%,0.28,1.51,0.56%,63.78,1.27%,14.75%,5.93%,0.05%
JOB,-0.25%,2-Jan,1,Services,4.78M,0.02535975,0.001303673,0.00151392,0.007266954,0.004437804,,,,,"GEE Group, Inc.",Staffing & Outsourcing Services,USA,,0.4,"31,483",Today After Market EPS,,49.30%,-2.80%,-231.60%,,0.39,1.14,47.77,0.03,,28.90%,1.7,6.19,,Jan 02/a,34.60%,5.87,-2.40%,-9.90%,1.7,-11.70%,-87.00%,3.40%,15.82K,9.34M,0.44%,25.51%,0.00%,5.30%,-36.11%,12.25M,2.58,-50.27%,-18.75%,-47.65%,0.00%,-44.52%,-52.67%,,5.36,12.99%,8.34%,-80.50%,23.72%,0.05,4.62,2.56%,36.35,-0.68%,-50.29%,-26.75%,-0.50%
JRJC,-4.17%,2-Jan,1,Technology,24.43M,0.217794351,0.0005884859999999999,-0.001133778,0.041744637,-0.019803078,,,,D,China Finance Online Co. Limited,Internet Information Providers,China,,0.86,"35,670",Today After Market EPS,,,-17.40%,45.80%,,0.68,3.39,,0.64,,-2.90%,1.1,0.0,,Jan 02/a,62.90%,0.0,-49.60%,-42.60%,1.1,-19.50%,-46.90%,-64.50%,68.89K,5.64M,1.31%,11.50%,0.00%,10.70%,2.87%,27.45M,1.07,-1.11%,45.90%,21.25%,-11.00%,-1.11%,-1.11%,,1.39,18.07%,22.79%,-61.35%,88.70%,0.13,1.69,-4.44%,58.0,24.16%,-1.55%,29.16%,1.35%
JVA,-1.35%,2-Jan,1,Consumer Goods,26.54M,-0.138773939,,0.021594089,0.011027307,0.009222122,,,,B,"Coffee Holding Co., Inc.",Processed & Packaged Goods,USA,88.46,4.6,"7,185",Tomorrow Before Market EPS,16.00%,270.00%,22.90%,133.40%,12.43,1.01,10.21,,0.3,5.53,-7.50%,3.1,0.23,,Jan 03/b,18.50%,0.0,1.80%,0.60%,1.3,1.30%,2.00%,6.10%,21.39K,4.87M,0.16%,6.40%,0.00%,32.90%,-3.11%,5.77M,0.36,13.02%,14.14%,19.48%,-2.54%,30.31%,30.31%,,0.93,4.69%,4.59%,-41.18%,29.06%,0.21,1.59,0.00%,56.46,1.99%,4.91%,9.97%,-0.40%
LIVE,2.57%,2-Jan,1,Technology,13.52M,-0.097663033,0.002232127,-0.0076801069999999985,-0.004890116,-0.005407938,,,,C,Live Ventures Incorporated,Internet Information Providers,USA,6.45,7.48,510,Today After Market EPS,0.00%,,21.50%,49.00%,,0.33,5.63,0.91,0.07,,143.10%,2.0,1.5,,Jan 02/a,38.40%,1.29,4.90%,1.80%,0.6,2.70%,8.60%,14.10%,6.06K,1.48M,0.18%,83.90%,1.70%,4.60%,22.12%,1.80M,0.44,4.74%,-6.94%,-13.08%,-2.72%,11.76%,-11.02%,,0.23,4.51%,5.76%,-16.61%,32.39%,0.35,0.88,3.20%,42.46,-3.97%,-0.50%,-7.17%,-3.48%
LNDC,-11.46%,2-Jan,1,Consumer Goods,335.68M,0.185359605,7.8e-05,0.00036385,0.000433181,0.000403203,3-Hold ,BUY,,C,Landec Corporation,Farm Products,USA,,10.82,"41,103",Today After Market EPS,10.00%,62.70%,-36.30%,-81.70%,27.59,1.24,167.84,,0.59,,3.20%,0.9,0.74,,Jan 02/a,14.00%,0.43,0.30%,-0.80%,0.5,-0.90%,-1.70%,0.90%,113.43K,28.35M,4.53%,0.70%,68.90%,87.00%,-4.50%,29.68M,11.33,17.08%,-1.31%,5.11%,-0.53%,-4.48%,-4.48%,2.0,0.99,2.59%,2.85%,-18.50%,19.89%,0.3,0.76,1.06%,41.18,-5.56%,1.62%,-0.83%,-5.60%
LW,11.34%,2-Jan,1,Consumer Goods,12.58B,0.185548263,0.000115134,0.000198011,0.000198011,0.000236466,2-Buy ,BUY,,B,"Lamb Weston Holdings, Inc.",Food - Major Diversified,USA,26.72,84.78,"383,235",Tomorrow Before Market EPS,7.40%,5.87%,12.10%,36.50%,23.38,136.56,661.98,45.0,3.28,3.61,5.90%,1.7,24.34,0.93%,Jan 03/b,26.70%,23.94,17.90%,12.40%,0.8,15.30%,,22.90%,987.57K,144.86M,4.12%,0.60%,-0.15%,92.40%,0.81%,146.20M,6.05,37.38%,2.44%,16.94%,0.62%,16.95%,16.95%,1.7,1.07,1.20%,1.05%,-2.07%,44.14%,0.99,,-0.30%,56.81,0.08%,18.18%,3.67%,-1.14%
PSTI,-0.71%,2-Jan,1,Healthcare,60.64M,0.17955369899999998,,-0.000635899,-0.002600483,0.009185662,2-Buy ,BUY,,D,Pluristem Therapeutics Inc.,Biotechnology,Israel,,3.88,"107,330",Today After Market EPS,,23.10%,7.60%,-16.00%,,3.46,3.28,,1212.73,,,2.7,0.0,,Jan 02/a,,0.0,,,2.7,-132.10%,-213.10%,,88.01K,14.63M,0.57%,6.86%,0.00%,7.80%,-4.46%,15.39M,0.95,-31.48%,17.61%,6.49%,-1.50%,-50.01%,-50.01%,1.7,3.29,5.54%,3.48%,-67.39%,24.76%,0.2,1.08,0.00%,53.81,1.56%,-22.80%,8.89%,-1.52%
RECN,7.16%,2-Jan,1,Services,521.74M,0.228062987,6.1e-05,0.00028399,0.000199252,-0.04250788,3-Hold ,,,C,"Resources Connection, Inc.",Staffing & Outsourcing Services,USA,17.1,16.15,"60,865",Today After Market EPS,8.00%,4.85%,14.10%,69.20%,15.12,1.8,11.42,15.17,0.72,2.14,5.10%,2.1,0.25,3.43%,Jan 02/a,39.00%,0.25,6.70%,4.20%,2.1,6.80%,10.80%,10.30%,171.73K,29.99M,1.76%,6.36%,0.00%,84.90%,0.10%,31.95M,3.07,2.70%,5.70%,-2.80%,-0.97%,15.00%,15.00%,,0.98,1.70%,1.18%,-9.87%,20.96%,0.27,1.17,2.76%,55.51,0.09%,0.89%,4.82%,-3.69%
RFL,0.95%,2-Jan,1,Healthcare,286.15M,0.027629289,0.000724577,0.16600214,-0.022771788,-0.01272923,,,,B,"Rafael Holdings, Inc.",Biotechnology,USA,,17.26,"8,096",Today After Market EPS,,,,51.80%,,2.23,,,57.23,,,9.7,0.0,,Jan 02/a,,0.0,,,9.7,-4.10%,-4.90%,-5.30%,46.97K,10.39M,3.27%,0.10%,0.00%,36.50%,1.19%,16.04M,7.24,-27.30%,5.44%,-17.02%,-3.72%,124.97%,124.97%,,0.49,7.47%,4.89%,-44.56%,117.51%,1.32,,-3.20%,42.04,-8.54%,-8.12%,-5.12%,-0.93%
SITO,4.15%,2-Jan,1,Technology,6.94M,-0.049005210999999986,0.001466425,0.014315584,0.032219526,-0.006582106999999999,3-Hold ,STRONG BUY,,D,"SITO Mobile, Ltd.",Wireless Communications,USA,,0.3,"164,477",Today After Market EPS,30.00%,,-16.90%,-124.90%,,1.11,8.67,,0.16,,32.10%,0.9,0.18,,Jan 02/a,40.60%,0.0,-35.00%,-34.20%,0.9,-63.10%,-139.70%,-141.60%,134.43K,23.10M,5.09%,0.70%,,11.20%,-4.63%,25.00M,8.75,-62.99%,-31.69%,-69.16%,-0.82%,-69.16%,-69.16%,1.0,3.3,15.15%,16.41%,-87.87%,19.40%,0.05,0.9,13.47%,41.22,-3.53%,-67.61%,-35.74%,-5.24%
